task_id,imbalance_ratio,imbalance_bucket
14970,1.3826458036984353,low (≤2)
32,1.0843601895734598,low (≤2)
14952,1.2570436913025724,low (≤2)
6,1.1076294277929155,low (≤2)
167119,5.3199538638985,high (>5)
14965,7.548118737001324,high (>5)
219,1.3554608306908562,low (≤2)
167124,1.0,low (≤2)
146195,6.896107923709102,high (>5)
3573,1.2477427530492635,low (≤2)
146825,1.0,low (≤2)
167120,1.0208971507700055,low (≤2)
146800,1.4285714285714286,low (≤2)
23,1.8888888888888888,low (≤2)
146821,18.615384615384617,high (>5)
14,1.0,low (≤2)
18,1.0,low (≤2)
45,2.1577574967405475,medium (2–5)
167125,6.143790849673203,high (>5)
3021,15.329004329004329,high (>5)
146820,17.54022988505747,high (>5)
9960,6.722560975609756,high (>5)
9985,5.255144032921811,high (>5)
2074,2.4496,medium (2–5)
3913,3.878504672897196,medium (2–5)
14954,1.368421052631579,low (≤2)
146819,10.73913043478261,high (>5)
9946,1.6839622641509433,low (≤2)
29,1.247557003257329,low (≤2)
15,1.900414937759336,low (≤2)
2079,2.038095238095238,medium (2–5)
10101,3.202247191011236,medium (2–5)
3560,1.2601626016260163,low (≤2)
3549,5.763636363636364,high (>5)
49,1.8855421686746987,low (≤2)
3022,1.0,low (≤2)
